,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
0,Pizza Tower,/app/2231450/,2023-01-26,4529,19807,227,20034,96.39,Action (1),"Action (1), Indie (23)",Tour De Pizza,Tour De Pizza,Engine.GameMaker; SDK.FMOD,2023-01-10,98.0,"3,101","3,606",4529,2023-03-25
1,Resident Evil 4,/app/2050650/,2023-03-24,168191,61752,1616,63368,95.75,Action (1),"Action (1), Adventure (25)",CAPCOM Co. Ltd.,CAPCOM Co. Ltd.,Engine.RE_Engine; SDK.AMD_GPU_Services,2023-03-29,97.0,"46,289","47,164",168191,2023-03-25
2,The Murder of Sonic the Hedgehog,/app/2324650/,2023-03-31,15543,12643,213,12856,95.54,Casual (4),"Casual (4), Free to Play (37), Indie (23), Simulation (28)",SEGA,SEGA,Engine.Unity; SDK.UnityBurst; SDK.cURL,2023-03-24,98.0,618,776,15543,2023-03-31
3,Pineapple on pizza,/app/2263010/,2023-03-28,1415,11717,209,11926,95.39,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Majorariatto,Majorariatto,Engine.Unity; SDK.cURL,2023-03-22,98.0,101,101,1415,2023-03-28
4,Hi-Fi RUSH,/app/1817230/,2023-01-25,6132,14152,324,14476,95.09,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,Engine.Unreal; SDK.Intel_OID; SDK.Intel_XeSS; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,2023-04-11,97.0,630,664,6132,2023-01-29
5,东北之夏,/app/2121360/,2023-01-09,8672,8891,165,9056,95.08,RPG (3),"Free to Play (37), RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,2022-09-29,98.0,62,75,8672,2023-01-10
6,Crab Champions,/app/774801/,2023-04-01,8564,5129,81,5210,94.76,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Strategy (2), Early Access (70)",Noisestorm Limited,Noisestorm Limited,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-04-02,98.0,"4,142","6,419",8564,2023-04-08
7,Papa's Freezeria Deluxe,/app/2291760/,2023-03-31,1227,1832,20,1852,93.84,Strategy (2),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,2023-03-28,99.0,661,838,1227,2023-04-02
8,A Space for the Unbound,/app/1201270/,2023-01-19,338,1917,27,1944,93.64,Adventure (25),"Adventure (25), Indie (23)",Toge Productions,Mojiken,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,2023-02-14,98.0,63,63,338,2023-01-20
9,Handshakes,/app/2171690/,2023-01-13,195,1166,10,1176,93.3,Free to Play (37),"Casual (4), Free to Play (37)",Pet Pumpkin,Pet Pumpkin,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-26,99.0,8,15,195,2023-01-21
10,候鸟,/app/1765350/,2023-01-11,162,1149,12,1161,93.12,Adventure (25),Adventure (25),Syawase Works China,KIDFansClub,Engine.RenPy,2023-01-10,98.0,19,20,162,2023-02-27
11,Симулятор Побега от Военкомата,/app/1248090/,2023-04-03,775,1995,42,2037,93.1,Indie (23),"Action (1), Adventure (25), Indie (23), Simulation (28)",Pirotexnik,Pirotexnik,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2023-03-24,97.0,127,157,775,2023-04-06
12,I commissioned some bees 0,/app/2250060/,2023-01-12,374,1733,36,1769,92.92,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Follow The Fun,Follow The Fun,nan,2023-01-12,97.0,21,31,374,2023-01-16
13,Spin Rhythm XD,/app/1058830/,2023-03-14,313,2909,86,2995,92.89,Indie (23),"Action (1), Casual (4), Indie (23)",Super Spin Digital,Super Spin Digital,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2023-03-15,97.0,57,69,313,2020-04-14
14,OCTOPATH TRAVELER II,/app/1971650/,2023-02-24,17008,4403,158,4561,92.85,RPG (3),RPG (3),Square Enix,Square Enix,Engine.Unreal; SDK.CRIWARE; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,2023-03-23,96.0,"3,206","3,388",17008,2023-02-26
15,Boneraiser Minions,/app/1944570/,2023-03-09,2029,3093,97,3190,92.82,Action (1),"Action (1), Casual (4), Indie (23), RPG (3)",caiys,caiys,Engine.GameMaker,2022-08-01,96.0,332,374,2029,2023-03-19
16,Bloody Hell,/app/2056220/,2023-01-27,395,1308,22,1330,92.8,Indie (23),"Action (1), Adventure (25), Free to Play (37), Indie (23)",Pun Intended,Pun Intended,Engine.Unity; SDK.Discord; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP,2023-01-27,98.0,60,69,395,2023-01-29
17,DREDGE,/app/1562430/,2023-03-30,12686,5632,234,5866,92.63,Adventure (25),"Adventure (25), RPG (3)",Team17,Black Salt Games,Engine.Unity; SDK.UnityURP; SDK.cURL,2023-03-30,96.0,"7,523","7,523",12686,2023-04-02
18,Your Only Move Is HUSTLE,/app/2212330/,2023-02-02,3405,5664,245,5909,92.5,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Ivy Sly,Ivy Sly,Engine.Godot,2023-01-03,95.0,745,"1,255",3405,2023-02-18
19,Touhou Hero of Ice Fairy,/app/1955830/,2023-02-25,573,736,8,744,92.24,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Early Access (70)",GAMEPULSE 游戏脉冲,GAMEPULSE 游戏脉冲,Engine.Unity; SDK.UnityURP,2023-04-14,98.0,69,81,573,2023-02-25
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,2023-02-20,471,616,4,620,92.23,Indie (23),"Adventure (25), Indie (23), Early Access (70)",0UP GAMES,Nankidai,Engine.RPGMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2023-02-17,99.0,39,47,471,2023-02-20
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,2023-02-13,818,4397,221,4618,91.65,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28)",Agafonoff,Agafonoff,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-11-22,95.0,43,50,818,2023-04-06
22,Half-Life: MMod,/app/1761270/,2023-03-14,1027,1222,39,1261,91.44,Action (1),Action (1),Gunship_Mark_II,MMod Team,Engine.GoldSource; SDK.CEF; SDK.Miles_Sound_System; SDK.SDL,2023-03-14,96.0,90,106,1027,2023-03-14
23,Hogwarts Legacy,/app/990080/,2023-02-10,879308,179479,14684,194163,91.35,Adventure (25),"Action (1), Adventure (25), RPG (3)",Warner Bros. Games,Avalanche Software,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_XeSS; SDK.NVIDIA_Ansel; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Wwise; SDK.XAudio2,2023-02-14,92.0,"34,741","34,741",879308,2023-02-12
24,Big Ambitions,/app/1331550/,2023-03-10,10961,3976,218,4194,91.17,Simulation (28),"Indie (23), Simulation (28), Early Access (70)",Hovgaard Games,Hovgaard Games,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP,2023-03-09,94.0,"2,913","2,913",10961,2023-03-12
25,Apewar,/app/2306590/,2023-03-24,361,1313,50,1363,91.06,Action (1),"Action (1), Casual (4), Indie (23), Strategy (2), Early Access (70)",Gombe Games,Gombe Games,Engine.Unity,2023-03-27,96.0,91,190,361,2023-03-31
26,Meg's Monster,/app/1783360/,2023-03-02,195,484,7,491,91.06,RPG (3),"Adventure (25), Indie (23), RPG (3)",Odencat,Odencat,nan,2023-03-02,98.0,18,26,195,2023-03-05
27,The Test: Secrets of the Soul,/app/2231890/,2023-02-20,16,527,9,536,91.04,Simulation (28),"Adventure (25), Casual (4), Free to Play (37), Indie (23), RPG (3), Simulation (28)",Randumb Studios,Randumb Studios,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2022-12-17,98.0,2,4,16,2023-02-21
28,Barotrauma,/app/602960/,2023-03-13,19655,41677,3286,44963,90.99,Indie (23),"Action (1), Indie (23), Simulation (28), Strategy (2)",Daedalic Entertainment,FakeFish,Engine.MonoGame; SDK.SDL; SDK.Vorbis,2023-03-13,92.0,"7,552","7,811",19655,2021-11-14
